GH,XGH,GA,XGA,Side
1,0.90,2,2.00,1
2,3.16,0,0.84,0
0,0.37,2,1.91,1
1,1.20,0,1.47,0
1,1.99,1,0.51,0
2,1.57,0,1.11,1
2,3.63,0,0.74,0
2,1.23,0,1.40,1
1,2.10,0,0.43,0
2,1.00,1,0.64,1
4,2.49,1,0.25,0
2,1.27,2,1.79,1
4,3.16,0,0.47,0
3,2.47,2,0.81,1
0,1.23,2,1.30,1
4,2.75,1,1.49,0
2,1.03,4,3.94,1
2,2.32,2,0.18,0
1,0.32,5,2.93,1
4,2.61,2,0.65,0
0,0.80,0,0.98,1
3,1.21,1,0.52,0
1,1.81,0,1.07,1
0,0.27,2,1.58,1
1,2.54,2,1.03,0
0,0.63,0,0.76,1
2,1.31,0,0.49,0
2,1.10,0,0.14,1
2,1.78,1,1.27,0
0,1.06,0,2.10,1
4,2.08,0,0.37,0
0,0.74,1,1.41,1
1,2.02,2,1.11,0
5,2.31,1,0.27,0
0,1.37,2,0.84,1
3,3.59,3,0.65,0
0,1.10,1,1.33,1
4,3.96,0,0.84,0
