GH,XGH,GA,XGA,Side
1,1.64,0,0.78,0
2,2.03,0,0.52,1
1,0.68,0,0.61,0
0,0.38,2,2.18,1
2,0.81,0,0.35,0
1,0.66,0,0.95,1
1,1.37,1,1.42,0
3,1.25,2,2.14,1
2,1.60,0,0.55,0
3,1.46,3,1.58,0
0,0.48,0,1.28,1
2,1.27,2,1.79,0
2,0.93,1,1.06,1
1,0.67,2,2.06,1
1,1.03,0,0.10,0
0,2.30,1,0.89,1
2,2.12,0,0.89,0
2,2.03,3,1.18,1
0,0.66,2,1.30,0
4,2.94,0,0.41,1
1,1.74,1,0.67,0
0,0.94,0,0.58,1
1,0.72,0,0.18,0
0,0.34,0,0.52,1
2,0.74,1,1.08,0
2,3.02,1,1.74,1
1,1.77,0,0.53,0
1,1.06,0,1.03,1
3,2.52,2,1.27,1
3,2.46,1,0.47,0
4,2.08,0,0.37,1
0,0.74,1,0.70,0
4,3.16,1,1.38,0
1,1.00,0,1.15,1
2,0.95,0,0.49,0
2,1.05,3,2.32,1
0,0.69,3,2.20,0
1,2.56,2,1.35,1
