GH,XGH,GA,XGA,Side
1,0.87,1,1.16,0
2,0.97,1,0.97,1
0,0.37,2,1.91,0
2,1.67,2,0.91,1
2,0.19,1,1.45,0
5,3.47,1,1.52,1
2,1.27,4,2.02,0
3,1.60,1,0.55,1
1,1.27,2,0.96,0
3,2.09,1,0.54,1
1,0.39,0,1.89,0
2,2.03,0,1.36,1
2,1.56,2,2.43,0
0,0.90,2,1.34,1
1,1.64,1,0.24,0
0,1.43,0,0.23,0
2,2.12,0,0.89,1
3,1.80,3,2.53,0
1,1.03,1,1.20,1
1,2.47,1,1.20,1
1,0.69,0,0.20,0
3,1.21,1,0.52,1
0,1.39,2,2.62,0
2,1.46,1,1.14,1
1,0.87,3,2.29,0
5,2.44,0,0.21,1
1,0.33,3,1.08,0
4,2.53,1,1.08,1
1,0.59,2,2.24,0
1,1.15,1,0.30,1
1,2.85,4,1.53,0
1,1.21,1,0.69,1
3,2.49,3,2.11,0
3,2.20,2,1.58,1
1,0.32,0,0.64,1
2,1.05,3,2.32,0
3,2.07,0,0.72,1
1,1.37,3,2.28,0
