GH,XGH,GA,XGA,Side
1,0.90,2,2.00,0
3,0.65,1,0.84,1
2,1.62,2,0.93,0
2,2.63,0,0.80,1
1,0.43,0,0.15,0
2,0.58,1,0.38,1
2,0.88,1,1.21,0
1,0.34,1,0.79,1
3,1.31,0,0.32,0
3,1.46,3,1.58,1
2,1.47,1,0.75,0
0,1.34,1,0.89,1
0,0.90,1,1.55,0
2,1.33,0,0.10,1
1,1.64,1,0.24,1
0,0.50,1,1.52,1
2,1.36,1,1.06,0
0,1.94,1,1.23,1
4,2.61,2,0.65,1
1,1.60,1,0.96,0
2,0.83,0,1.19,0
0,1.62,0,0.55,1
2,0.76,2,1.85,0
1,0.96,2,1.03,1
1,0.99,3,3.01,0
0,1.24,0,0.30,1
1,1.34,0,0.68,0
1,2.49,1,1.32,1
3,2.52,2,1.27,0
1,1.59,4,1.75,1
1,1.27,2,2.30,0
2,0.87,1,0.99,1
0,0.51,1,1.07,0
3,2.20,2,1.58,0
1,0.96,3,1.55,1
1,1.57,5,1.25,0
1,0.46,2,1.71,1
2,0.64,1,1.10,0
