GH,XGH,GA,XGA,Side
1,1.74,0,0.38,1
5,4.23,1,0.53,0
2,1.76,1,0.92,1
3,1.48,1,0.31,0
2,1.04,0,0.90,1
1,1.37,1,0.55,0
0,0.16,1,1.20,1
1,2.92,1,1.04,0
1,1.40,1,0.64,1
1,1.01,1,0.20,0
0,0.23,1,1.71,1
3,3.45,0,0.79,0
3,0.60,1,1.37,1
0,0.27,2,1.32,1
1,1.30,0,0.60,0
0,1.36,0,0.10,1
0,0.26,3,3.15,0
3,2.03,0,0.23,0
0,0.98,1,1.05,0
2,1.14,0,0.60,1
1,0.93,1,1.04,0
1,1.87,7,2.24,1
0,1.59,1,1.75,1
3,2.65,1,1.05,0
0,0.77,1,2.15,1
1,2.77,1,0.90,0
0,0.37,2,2.02,1
0,0.64,1,1.37,0
4,2.80,1,1.18,1
1,0.78,0,0.26,0
0,0.69,3,1.18,1
0,1.26,0,0.59,0
3,1.58,2,1.20,0
4,1.47,0,0.58,1
3,2.15,1,0.13,0
3,1.62,1,0.96,1
3,2.82,0,0.27,0
1,0.37,2,2.48,1
