GH,XGH,GA,XGA,Side
1,1.74,0,0.38,0
1,1.02,3,2.40,1
2,0.64,1,0.52,0
1,1.14,1,0.61,1
4,2.22,0,1.21,0
1,0.66,3,2.14,1
2,0.59,1,1.25,0
2,2.05,1,0.63,0
1,1.78,2,2.32,1
1,1.41,1,0.73,0
2,1.72,0,0.66,1
3,2.50,0,0.25,0
0,1.37,2,1.01,1
1,0.57,1,1.42,1
2,1.58,1,0.77,0
2,1.27,1,1.03,1
2,2.20,0,1.00,0
1,2.09,0,0.48,0
0,0.98,1,1.05,1
2,2.49,2,1.55,0
4,2.48,1,0.21,1
1,0.77,0,0.38,0
0,0.12,2,1.84,1
0,0.45,2,2.35,1
1,1.87,0,0.18,0
1,1.07,2,0.81,1
0,1.25,0,0.85,1
3,3.48,0,0.25,0
0,0.75,1,2.82,1
1,1.02,2,0.82,0
2,2.02,1,1.91,1
1,2.66,1,0.47,0
1,1.65,2,1.47,0
1,0.52,1,2.17,1
0,0.72,1,0.47,0
1,0.91,0,1.31,1
3,1.54,0,0.26,0
3,0.99,1,1.09,1
