GH,XGH,GA,XGA,Side
0,0.35,1,1.68,1
1,1.94,1,0.54,0
0,0.59,3,1.89,1
1,1.14,1,0.61,0
0,1.63,1,1.05,0
0,0.12,1,1.23,1
1,1.45,1,0.51,0
1,0.87,4,1.21,1
4,2.49,1,0.44,0
1,0.59,3,0.99,1
2,0.67,1,0.70,0
1,1.04,2,1.04,1
3,0.60,1,1.37,0
0,0.70,1,1.52,1
2,1.90,1,0.40,0
0,0.70,2,1.11,1
3,1.50,4,1.85,0
1,0.48,1,1.17,1
1,0.90,0,0.52,0
4,1.48,1,1.33,0
0,0.29,1,1.84,1
1,1.81,1,0.14,0
1,0.77,0,0.38,1
1,0.74,3,2.60,1
4,1.65,1,0.56,0
1,2.11,1,1.24,1
3,3.05,1,0.29,0
0,0.71,3,2.40,1
4,2.54,1,0.48,0
1,1.48,3,1.59,1
4,3.22,0,0.21,0
0,1.26,0,0.59,1
6,3.19,2,0.60,0
2,0.57,0,1.07,1
1,0.87,1,1.27,0
1,0.83,0,1.70,1
2,1.76,0,0.66,0
2,1.21,1,1.90,1
