GH,XGH,GA,XGA,Side
2,1.08,2,1.42,1
2,0.54,1,1.46,0
1,1.53,2,1.70,1
3,3.05,0,1.21,0
0,0.99,0,0.63,1
1,0.51,1,1.09,0
0,0.52,2,1.81,1
1,1.69,1,1.65,1
3,2.33,1,0.69,0
0,0.23,1,0.67,1
1,1.74,0,0.74,0
0,2.54,4,2.51,1
3,1.75,0,0.90,0
3,3.04,2,1.20,0
1,1.43,1,0.35,1
2,1.27,1,1.03,0
0,0.26,3,3.15,1
1,0.48,1,1.17,0
3,3.43,1,1.25,0
1,2.06,3,1.22,1
3,3.13,0,0.54,0
1,0.43,2,0.73,1
2,1.83,6,3.84,1
5,2.49,3,0.86,0
5,2.01,0,1.03,1
2,2.25,0,0.75,0
3,2.58,1,1.26,0
1,0.52,3,1.50,1
3,2.49,0,0.30,0
1,0.91,1,2.44,1
1,0.96,1,1.93,0
0,0.18,2,2.39,1
1,2.36,4,2.85,1
1,1.39,0,1.12,0
0,0.72,1,0.47,1
3,1.62,1,0.96,0
2,1.76,0,0.66,1
2,2.35,2,1.61,0
