GH,XGH,GA,XGA,Side
2,2.85,1,1.05,0
0,0.80,1,1.79,1
0,1.20,1,1.00,1
6,5.46,0,0.21,0
0,0.72,4,2.24,1
2,1.48,0,1.98,0
1,1.29,2,1.96,1
1,1.23,0,0.26,0
0,0.18,3,2.49,1
2,1.89,1,1.31,0
1,0.60,5,2.92,1
2,3.09,1,0.11,0
1,1.11,2,2.70,1
1,1.56,0,0.50,0
2,1.20,2,1.75,1
2,0.46,0,1.52,0
1,1.08,2,2.33,1
1,3.28,0,0.86,0
1,0.99,0,0.94,1
3,1.65,2,1.02,1
3,2.23,0,0.69,0
3,2.30,0,0.24,0
0,1.07,2,2.23,1
5,2.52,2,0.71,0
3,1.30,2,2.14,1
2,0.86,0,0.40,0
1,1.72,0,1.21,0
1,1.78,2,1.77,1
6,3.72,2,0.26,0
3,2.86,0,0.33,1
2,1.87,4,2.46,1
2,1.35,2,1.46,0
0,0.74,3,3.74,1
0,1.07,1,0.45,0
3,1.67,3,2.77,1
2,1.83,0,0.35,0
1,1.85,0,1.08,1
1,0.74,0,0.66,0
