GH,XGH,GA,XGA,Side
3,2.71,0,0.41,0
1,1.86,2,2.15,1
0,0.95,5,2.89,0
2,0.58,1,0.31,1
1,1.01,0,0.50,0
1,0.35,1,2.53,1
2,1.14,1,1.45,0
2,2.78,1,0.33,1
0,0.18,3,2.49,0
3,1.34,0,0.88,1
2,0.99,1,0.76,0
2,1.19,4,2.30,1
1,1.06,1,1.22,0
1,1.74,1,1.28,0
3,2.46,0,0.42,1
0,0.99,0,0.21,0
0,0.99,0,0.23,1
0,0.22,1,1.90,0
1,1.92,1,0.94,1
1,1.93,1,1.71,1
3,2.22,1,1.91,0
1,1.34,4,2.06,1
1,0.40,2,0.84,0
0,0.85,2,0.51,1
1,0.40,1,1.46,0
1,1.12,0,0.28,1
1,1.72,0,1.21,1
1,0.54,2,2.19,0
2,1.59,0,0.23,1
0,0.67,2,2.62,0
0,1.72,2,0.63,0
0,2.32,0,0.47,1
3,1.33,4,1.60,1
1,0.72,0,0.29,0
3,2.52,0,0.10,1
2,2.27,3,1.73,0
0,0.47,1,2.13,1
5,1.82,1,0.67,0
