GH,XGH,GA,XGA,Side
1,1.40,3,2.62,0
3,1.15,1,0.63,1
0,0.24,3,1.65,0
6,5.46,0,0.21,1
1,0.28,4,2.65,0
2,0.26,3,1.91,0
3,2.97,0,0.11,1
0,0.33,1,1.49,0
0,1.21,0,0.44,1
2,1.28,3,1.19,0
3,2.98,1,0.34,1
0,0.65,0,0.71,0
2,1.55,1,0.31,1
0,0.32,1,1.70,0
0,0.76,1,1.00,1
0,0.99,0,0.21,1
1,0.73,3,2.32,0
3,2.47,2,0.94,1
0,0.09,1,1.38,0
2,2.30,0,0.14,1
0,0.44,1,1.11,0
3,1.37,1,1.10,1
0,1.07,2,2.23,0
4,2.04,1,0.79,1
1,2.05,0,0.07,1
0,0.31,5,3.09,0
2,2.29,4,1.74,1
0,0.16,0,0.77,0
1,1.62,0,1.01,1
1,1.84,1,2.11,0
2,3.83,1,0.21,1
0,0.61,0,1.36,0
4,1.44,2,2.29,1
0,0.21,1,1.00,0
3,2.52,0,0.10,0
2,1.89,2,0.31,1
0,0.43,2,0.96,0
2,1.73,1,0.23,1
