GH,XGH,GA,XGA,Side
0,0.76,0,0.63,0
3,1.64,2,1.11,1
2,2.08,0,0.38,0
0,0.55,2,1.09,1
2,2.13,0,0.16,0
2,0.26,3,1.91,1
1,2.51,1,0.54,1
2,1.93,1,0.38,0
0,0.48,1,2.52,1
4,1.25,1,0.91,0
1,0.33,0,1.33,1
1,0.82,1,0.90,0
1,1.06,1,1.22,1
2,1.70,1,0.86,0
3,4.71,1,1.32,0
2,2.09,2,2.32,1
1,1.08,2,2.33,0
2,1.28,2,1.24,1
2,2.56,0,0.57,0
2,2.23,5,2.25,1
1,0.39,1,1.11,0
1,1.28,1,0.60,1
2,1.67,0,0.72,0
0,0.48,4,2.75,1
1,2.05,0,0.07,0
2,1.23,3,1.32,0
1,0.53,0,1.41,1
1,2.14,1,0.48,0
0,0.06,0,0.90,1
1,2.69,1,0.27,0
1,0.59,1,1.45,1
0,2.32,0,0.47,0
0,0.32,0,0.60,1
0,0.23,3,1.41,1
1,1.05,3,1.27,0
2,1.83,0,0.35,1
2,1.86,1,0.63,0
3,2.06,1,0.75,1
