GH,XGH,GA,XGA,Side
0,0.45,0,0.97,1
3,1.24,0,0.82,0
2,0.61,1,1.29,0
1,1.87,3,1.08,1
0,2.26,1,2.63,0
0,0.36,1,1.82,1
6,4.08,1,1.72,0
0,1.70,0,0.51,1
0,0.48,1,2.52,0
0,0.57,1,0.91,1
3,2.98,1,0.34,0
0,0.30,2,1.22,1
1,1.11,2,2.70,0
0,1.16,2,2.04,1
3,2.46,0,0.42,0
2,2.25,1,0.71,1
0,1.11,1,1.71,0
1,1.06,0,1.37,1
1,1.68,1,1.07,0
1,0.70,0,0.83,0
1,1.41,1,0.97,1
0,0.94,3,2.23,1
7,2.66,0,0.23,0
0,1.14,0,0.19,1
2,1.05,1,2.88,0
0,0.71,3,1.39,1
1,2.14,1,0.48,1
1,0.27,2,0.89,0
1,1.84,1,2.11,1
1,0.32,1,0.68,0
1,1.99,1,0.29,0
2,1.35,2,1.46,1
0,0.39,1,1.91,0
1,0.72,0,0.29,1
4,2.39,1,1.32,0
1,0.73,0,0.03,1
1,1.89,2,1.20,0
0,0.98,1,1.16,1
