Home,Away
Juventus,Cagliari
Verona,Napoli
Atalanta,Roma
Bologna,Torino
Inter,Fiorentina
Lazio,SPAL 2013
Sampdoria,Benevento
Sassuolo,Genoa
Udinese,Chievo
Crotone,AC Milan
Genoa,Juventus
Benevento,Bologna
Roma,Inter
Torino,Sassuolo
SPAL 2013,Udinese
AC Milan,Cagliari
Napoli,Atalanta
Chievo,Lazio
Crotone,Verona
Fiorentina,Sampdoria
Juventus,Chievo
Inter,SPAL 2013
Atalanta,Sassuolo
Cagliari,Crotone
Verona,Fiorentina
Udinese,Genoa
Lazio,AC Milan
Benevento,Torino
Bologna,Napoli
Crotone,Inter
Fiorentina,Bologna
Roma,Verona
Sassuolo,Juventus
AC Milan,Udinese
Napoli,Benevento
SPAL 2013,Cagliari
Torino,Sampdoria
Chievo,Atalanta
Genoa,Lazio
Bologna,Inter
Benevento,Roma
Atalanta,Crotone
Cagliari,Sassuolo
Genoa,Chievo
Verona,Sampdoria
Juventus,Fiorentina
Lazio,Napoli
AC Milan,SPAL 2013
Udinese,Torino
Roma,Udinese
SPAL 2013,Napoli
Juventus,Torino
Sampdoria,AC Milan
Cagliari,Chievo
Crotone,Benevento
Verona,Lazio
Inter,Genoa
Sassuolo,Bologna
Fiorentina,Atalanta
Udinese,Sampdoria
Genoa,Bologna
Napoli,Cagliari
Benevento,Inter
Chievo,Fiorentina
Lazio,Sassuolo
SPAL 2013,Crotone
Torino,Verona
AC Milan,Roma
Atalanta,Juventus
Juventus,Lazio
Roma,Napoli
Fiorentina,Udinese
Bologna,SPAL 2013
Cagliari,Genoa
Crotone,Torino
Sampdoria,Atalanta
Sassuolo,Chievo
Inter,AC Milan
Verona,Benevento
Sampdoria,Crotone
Napoli,Inter
Atalanta,Bologna
Benevento,Fiorentina
AC Milan,Genoa
SPAL 2013,Sassuolo
Torino,Roma
Udinese,Juventus
Chievo,Verona
Lazio,Cagliari
Inter,Sampdoria
Atalanta,Verona
Bologna,Lazio
Cagliari,Benevento
Chievo,AC Milan
Fiorentina,Torino
Genoa,Napoli
Juventus,SPAL 2013
Roma,Crotone
Sassuolo,Udinese
AC Milan,Juventus
Roma,Bologna
Benevento,Lazio
Crotone,Fiorentina
Napoli,Sassuolo
Sampdoria,Chievo
SPAL 2013,Genoa
Udinese,Atalanta
Torino,Cagliari
Verona,Inter
