GH,XGH,GA,XGA,Side
3,2.04,2,0.52,0
2,1.69,1,0.31,1
1,0.43,1,2.49,0
2,2.35,2,2.09,1
1,1.18,1,1.53,0
1,0.70,4,1.31,0
3,2.55,1,0.41,1
1,2.09,0,0.65,0
3,2.18,2,0.55,1
2,1.54,1,0.38,1
0,0.44,1,0.79,0
0,0.82,2,1.53,1
1,1.00,1,0.41,0
2,1.35,1,1.25,1
0,1.32,0,1.00,1
0,0.37,0,0.67,0
0,0.72,1,0.28,1
0,0.80,0,1.66,0
2,2.16,1,0.57,1
0,1.75,2,1.55,0
0,1.25,0,0.70,1
1,1.78,1,0.78,0
3,2.38,0,1.42,1
1,1.01,3,0.88,0
3,1.36,0,0.58,1
1,1.32,0,0.83,1
1,0.26,2,1.71,0
2,1.06,3,2.91,1
1,2.10,0,1.04,0
1,2.04,1,1.38,1
2,1.86,1,1.47,0
1,1.53,0,1.41,1
1,0.83,1,0.80,0
2,1.24,0,0.60,0
2,1.25,1,1.26,1
0,0.83,1,0.98,0
2,1.67,0,1.66,1
2,0.43,3,1.78,0
