GH,XGH,GA,XGA,Side
2,1.46,0,0.57,1
2,0.95,1,1.26,0
0,1.27,0,1.36,0
0,1.49,1,2.74,1
3,2.10,1,1.04,0
1,1.18,1,1.53,1
1,0.65,0,1.45,0
0,2.00,2,0.86,1
3,1.05,3,1.19,0
1,0.27,2,1.49,1
5,2.45,1,0.77,0
2,1.55,1,3.75,1
3,2.43,2,2.02,1
2,0.72,2,2.25,0
2,2.37,1,2.08,1
3,1.59,1,1.39,0
2,1.25,4,1.90,1
3,1.20,0,0.22,0
0,0.43,1,0.93,1
2,0.91,2,1.24,0
1,1.91,3,1.87,1
2,2.77,2,1.72,1
1,2.05,0,0.48,0
3,1.51,0,0.62,1
3,1.36,0,0.58,0
3,2.53,3,1.88,1
2,1.14,1,0.19,0
2,2.34,1,1.33,1
1,1.34,0,0.37,0
2,1.48,1,0.64,1
3,2.22,2,1.84,0
0,5.06,0,0.22,0
2,1.45,4,1.43,1
3,1.55,1,0.35,0
1,0.95,0,2.43,1
1,1.88,2,2.21,0
4,2.54,1,1.28,1
2,2.74,1,1.77,0
