GH,XGH,GA,XGA,Side
2,1.05,3,2.26,0
2,1.51,0,0.32,1
1,1.91,2,2.18,0
2,2.85,1,0.74,1
0,0.06,2,2.92,0
2,0.85,0,0.33,1
3,3.05,1,1.42,1
0,0.74,2,2.81,0
1,1.85,1,0.85,1
1,0.27,2,1.49,0
3,2.11,1,0.73,1
0,0.82,2,1.53,0
2,1.82,0,0.33,1
0,1.16,3,1.74,0
1,1.48,0,1.04,1
0,0.61,1,1.35,0
1,2.28,0,0.25,1
2,1.75,2,1.05,0
2,1.42,1,1.23,1
3,3.93,0,0.47,1
1,1.75,2,1.28,0
3,2.16,3,1.17,1
0,0.44,3,2.11,0
3,2.08,0,0.63,1
0,1.27,1,0.59,0
1,2.05,2,0.59,0
4,2.73,1,0.10,1
2,1.05,0,0.31,0
1,1.34,0,0.37,1
0,0.45,2,3.24,0
2,1.86,1,1.47,1
2,0.98,1,0.53,0
2,0.90,1,1.44,1
1,1.36,1,0.58,0
1,1.32,1,0.65,1
2,1.39,0,1.05,0
1,0.88,1,1.67,1
2,0.69,0,0.49,0
