GH,XGH,GA,XGA,Side
1,1.08,2,1.52,1
2,1.51,0,0.32,0
1,2.85,0,0.49,1
0,1.49,1,2.74,0
4,2.81,1,0.67,1
1,0.84,2,1.50,0
3,2.46,1,0.89,0
1,1.39,0,1.01,1
0,0.25,2,2.86,0
0,1.24,3,1.62,1
4,2.54,1,0.92,1
1,0.54,1,1.49,0
1,1.00,1,0.41,1
1,1.10,1,1.03,0
2,4.20,2,0.94,1
1,0.76,0,0.68,0
3,2.59,1,1.81,1
0,0.18,2,1.47,0
1,0.99,1,1.70,1
2,2.07,1,1.42,0
1,1.75,2,1.28,1
0,1.30,1,1.17,0
1,2.05,0,0.48,1
2,1.59,1,0.60,0
3,2.15,0,1.23,1
1,0.77,1,1.03,0
4,1.77,1,0.36,1
0,1.54,1,1.60,0
1,1.15,0,0.51,0
2,3.36,2,1.21,1
1,1.53,0,1.41,0
2,0.89,0,1.28,1
1,1.64,2,1.18,1
1,1.19,2,1.25,0
1,0.37,3,1.81,1
1,1.28,2,1.59,0
3,1.84,3,2.58,1
3,2.40,1,1.18,0
