GH,XGH,GA,XGA,Side
2,1.55,2,2.00,1
1,1.41,0,0.15,0
1,1.91,2,2.18,1
0,1.39,1,0.30,0
2,2.04,0,0.72,1
3,2.86,0,0.09,0
1,0.65,0,1.45,1
1,1.53,3,1.16,0
0,0.25,2,2.86,1
3,2.98,0,1.38,0
0,0.58,0,0.42,1
1,2.34,2,1.60,0
2,2.21,1,1.52,1
2,1.35,1,1.25,0
1,1.57,1,1.48,1
2,1.72,0,0.71,0
0,0.78,0,0.27,1
0,1.49,1,0.48,0
0,0.48,2,1.72,1
1,1.47,2,2.41,0
2,2.67,3,1.97,1
3,2.16,3,1.17,0
0,0.47,1,1.90,1
2,2.21,1,0.41,0
0,0.44,4,1.41,1
3,2.53,3,1.88,0
1,1.51,0,0.60,1
4,1.77,1,0.36,0
1,0.99,3,3.89,1
3,1.96,2,2.02,0
0,0.76,0,0.86,1
0,1.25,0,0.83,0
1,0.83,1,0.80,1
1,0.90,1,0.46,0
3,2.48,3,2.78,1
4,1.85,1,0.57,0
1,0.61,0,1.28,1
2,1.72,1,1.09,0
