GH,XGH,GA,XGA,Side
2,1.55,2,2.00,0
1,1.80,0,0.59,1
1,1.10,0,0.17,0
1,0.27,1,0.67,1
0,1.58,2,1.12,0
1,0.84,2,1.50,1
2,1.36,1,1.00,0
0,0.74,2,2.81,1
0,1.72,3,2.01,1
2,1.77,2,0.63,0
0,0.44,1,0.79,1
2,1.55,1,3.75,0
1,1.37,0,1.25,1
0,1.83,0,0.14,0
1,0.90,3,2.26,1
1,2.20,0,0.32,0
1,0.37,1,1.22,1
0,0.66,0,0.20,0
2,2.00,0,0.33,1
1,1.47,2,2.41,1
4,3.50,0,0.27,0
1,1.42,1,0.59,1
1,2.46,0,1.73,0
1,1.29,0,1.79,1
2,1.75,1,1.74,1
4,2.73,1,0.10,0
4,1.52,2,0.74,0
2,2.46,0,2.07,1
1,2.04,1,1.38,0
3,2.22,2,1.84,1
1,1.30,0,0.56,0
2,0.89,0,1.28,0
1,0.91,1,0.75,1
2,2.01,0,0.12,0
0,0.36,0,2.28,1
1,1.65,3,2.53,0
3,1.39,2,1.17,1
1,2.45,2,0.74,0
