Liga: Bundesliga; powers: p0.m; epowers: p1.m; lnpowers: p0.m; SUM: -26.02
Liga: LaLiga    ; powers: p0.m; epowers: p1.m; lnpowers: p0.m; SUM: -18.53
Liga: Ligue_1   ; powers: p0.m; epowers: p1.m; lnpowers: p0.m; SUM: -0.92
Liga: Serie_A   ; powers: p0.m; epowers: p1.m; lnpowers: p0.m; SUM: 25.31
Liga: Bundesliga; powers: p0.m; epowers: p12.m; lnpowers: p0.m; SUM: -36.43
Liga: LaLiga    ; powers: p0.m; epowers: p12.m; lnpowers: p0.m; SUM: -26.24
Liga: Ligue_1   ; powers: p0.m; epowers: p12.m; lnpowers: p0.m; SUM: 27.31
Liga: Serie_A   ; powers: p0.m; epowers: p12.m; lnpowers: p0.m; SUM: 32.09
Liga: Bundesliga; powers: p0.m; epowers: p123.m; lnpowers: p0.m; SUM: -23.85
Liga: LaLiga    ; powers: p0.m; epowers: p123.m; lnpowers: p0.m; SUM: -4.69
Liga: Ligue_1   ; powers: p0.m; epowers: p123.m; lnpowers: p0.m; SUM: 43.9
Liga: Serie_A   ; powers: p0.m; epowers: p123.m; lnpowers: p0.m; SUM: 19.65
Liga: Bundesliga; powers: p0.m; epowers: p13.m; lnpowers: p0.m; SUM: -24.64
Liga: LaLiga    ; powers: p0.m; epowers: p13.m; lnpowers: p0.m; SUM: -24.32
Liga: Ligue_1   ; powers: p0.m; epowers: p13.m; lnpowers: p0.m; SUM: 27.86
Liga: Serie_A   ; powers: p0.m; epowers: p13.m; lnpowers: p0.m; SUM: 36.98
Liga: Bundesliga; powers: p0.m; epowers: p2.m; lnpowers: p0.m; SUM: -8.99
Liga: LaLiga    ; powers: p0.m; epowers: p2.m; lnpowers: p0.m; SUM: 3.32
Liga: Ligue_1   ; powers: p0.m; epowers: p2.m; lnpowers: p0.m; SUM: -7.83
Liga: Serie_A   ; powers: p0.m; epowers: p2.m; lnpowers: p0.m; SUM: 20.29
Liga: Bundesliga; powers: p0.m; epowers: p23.m; lnpowers: p0.m; SUM: -31.1
Liga: LaLiga    ; powers: p0.m; epowers: p23.m; lnpowers: p0.m; SUM: -2.9
Liga: Ligue_1   ; powers: p0.m; epowers: p23.m; lnpowers: p0.m; SUM: 11.48
Liga: Serie_A   ; powers: p0.m; epowers: p23.m; lnpowers: p0.m; SUM: 17.93
Liga: Bundesliga; powers: p0.m; epowers: p3.m; lnpowers: p0.m; SUM: -4.2
Liga: LaLiga    ; powers: p0.m; epowers: p3.m; lnpowers: p0.m; SUM: 1.63
Liga: Ligue_1   ; powers: p0.m; epowers: p3.m; lnpowers: p0.m; SUM: -4.79
Liga: Serie_A   ; powers: p0.m; epowers: p3.m; lnpowers: p0.m; SUM: -20.17
Liga: Bundesliga; powers: p0.m; epowers: p0.m; lnpowers: p1.m; SUM: -10.65
Liga: LaLiga    ; powers: p0.m; epowers: p0.m; lnpowers: p1.m; SUM: 7.49
Liga: Ligue_1   ; powers: p0.m; epowers: p0.m; lnpowers: p1.m; SUM: 45.01
Liga: Serie_A   ; powers: p0.m; epowers: p0.m; lnpowers: p1.m; SUM: 7.96
Liga: Bundesliga; powers: p0.m; epowers: p1.m; lnpowers: p1.m; SUM: -12.09
Liga: LaLiga    ; powers: p0.m; epowers: p1.m; lnpowers: p1.m; SUM: 4.04
Liga: Ligue_1   ; powers: p0.m; epowers: p1.m; lnpowers: p1.m; SUM: 45.4
Liga: Serie_A   ; powers: p0.m; epowers: p1.m; lnpowers: p1.m; SUM: 1.08
Liga: Bundesliga; powers: p0.m; epowers: p12.m; lnpowers: p1.m; SUM: -22.73
Liga: LaLiga    ; powers: p0.m; epowers: p12.m; lnpowers: p1.m; SUM: 9.5
